title;doi;received month;received year;accepted month;accepted year;published month;published year;issued month;issued year;received - accepted;accepted - published;published - issued
Conformational transitions of a neurotensin receptor 1–Gi1 complex;https://doi.org/10.1038/s41586-019-1337-6;February;2019;May;2019;June;2019;August;2019;101;26;36
Structure and autoregulation of a P4-ATPase lipid flippase;https://doi.org/10.1038/s41586-019-1344-7;January;2019;May;2019;June;2019;July;2019;134;29;22
Developmental dynamics of lncRNAs across mammalian organs and species;https://doi.org/10.1038/s41586-019-1341-x;October;2018;May;2019;June;2019;July;2019;222;26;29
Gene expression across mammalian organ development;https://doi.org/10.1038/s41586-019-1338-5;April;2018;May;2019;June;2019;July;2019;420;26;29
Large-scale chemical–genetics yields new M. tuberculosis inhibitor classes;https://doi.org/10.1038/s41586-019-1315-z;December;2018;May;2019;June;2019;July;2019;158;29;15
Electrolytic vascular systems for energy-dense robots;https://doi.org/10.1038/s41586-019-1313-1;January;2019;April;2019;June;2019;July;2019;89;56;15
Global analysis of streamflow response to forest management;https://doi.org/10.1038/s41586-019-1306-0;December;2018;April;2019;June;2019;June;2019;113;70;10
TOX transcriptionally and epigenetically programs CD8+ T cell exhaustion;https://doi.org/10.1038/s41586-019-1325-x;June;2018;May;2019;June;2019;July;2019;360;18;24
Transposon-encoded CRISPR–Cas systems direct RNA-guided DNA integration;https://doi.org/10.1038/s41586-019-1323-z;March;2019;June;2019;June;2019;July;2019;81;8;29
Atypical behaviour and connectivity in SHANK3-mutant macaques;https://doi.org/10.1038/s41586-019-1278-0;November;2018;May;2019;June;2019;June;2019;190;30;8
Structural mechanism for NEK7-licensed activation of NLRP3 inflammasome;https://doi.org/10.1038/s41586-019-1295-z;January;2019;May;2019;June;2019;June;2019;115;27;8
Antarctic offshore polynyas linked to Southern Hemisphere climate anomalies;https://doi.org/10.1038/s41586-019-1294-0;January;2019;May;2019;June;2019;June;2019;108;39;10
Predator-induced collapse of niche structure and species coexistence;https://doi.org/10.1038/s41586-019-1264-6;October;2018;May;2019;June;2019;June;2019;211;35;1
The population history of northeastern Siberia since the Pleistocene;https://doi.org/10.1038/s41586-019-1279-z;February;2018;May;2019;June;2019;June;2019;439;29;8
Surface erosion events controlled the evolution of plate tectonics on Earth;https://doi.org/10.1038/s41586-019-1258-4;December;2018;April;2019;June;2019;June;2019;128;42;1
Mapping human microbiome drug metabolism by gut bacteria and their genes;https://doi.org/10.1038/s41586-019-1291-3;December;2018;May;2019;June;2019;June;2019;142;12;24
DNA damage detection in nucleosomes involves DNA register shifting;https://doi.org/10.1038/s41586-019-1259-3;October;2018;May;2019;May;2019;July;2019;182;28;36
Immunization expands B cells specific to HIV-1 V3 glycan in mice and macaques;https://doi.org/10.1038/s41586-019-1250-z;December;2018;May;2019;May;2019;June;2019;142;28;29
Metabolic control of BRISC–SHMT2 assembly regulates immune signalling;https://doi.org/10.1038/s41586-019-1232-1;July;2018;April;2019;May;2019;June;2019;300;30;15
Asia’s shrinking glaciers protect large populations from drought stress;https://doi.org/10.1038/s41586-019-1240-1;January;2018;March;2019;May;2019;May;2019;414;76;1
Growth dynamics in naturally progressing chronic lymphocytic leukaemia;https://doi.org/10.1038/s41586-019-1252-x;August;2017;May;2019;May;2019;June;2019;613;28;29
Multi-omics of the gut microbial ecosystem in inflammatory bowel diseases;https://doi.org/10.1038/s41586-019-1237-9;February;2018;April;2019;May;2019;May;2019;434;43;1
Longitudinal multi-omics of host–microbe dynamics in prediabetes;https://doi.org/10.1038/s41586-019-1236-x;January;2018;April;2019;May;2019;May;2019;461;43;1
Mitochondrial protein translocation-associated degradation;https://doi.org/10.1038/s41586-019-1227-y;October;2018;April;2019;May;2019;May;2019;206;27;8
Dissociable dopamine dynamics for learning and motivation;https://doi.org/10.1038/s41586-019-1235-y;May;2018;April;2019;May;2019;June;2019;339;23;15
Exome sequencing of 20,791 cases of type 2 diabetes and 24,440 controls;https://doi.org/10.1038/s41586-019-1231-2;June;2018;April;2019;May;2019;June;2019;321;29;15
Self-verifying variational quantum simulation of lattice models;https://doi.org/10.1038/s41586-019-1177-4;October;2018;March;2019;May;2019;May;2019;164;55;1
Distinct modes of cell competition shape mammalian tissue morphogenesis;https://doi.org/10.1038/s41586-019-1199-y;July;2018;April;2019;May;2019;May;2019;280;34;8
Progenitors from the central nervous system drive neurogenesis in cancer;https://doi.org/10.1038/s41586-019-1219-y;February;2018;April;2019;May;2019;May;2019;432;22;15
Total synthesis of Escherichia coli with a recoded genome;https://doi.org/10.1038/s41586-019-1192-5;December;2018;April;2019;May;2019;May;2019;112;36;8
Mapping HIV prevalence in sub-Saharan Africa between 2000 and 2017;https://doi.org/10.1038/s41586-019-1200-9;September;2018;April;2019;May;2019;June;2019;209;35;29
Molecular recording of mammalian embryogenesis;https://doi.org/10.1038/s41586-019-1184-5;July;2018;April;2019;May;2019;June;2019;282;33;24
Mapping the world’s free-flowing rivers;https://doi.org/10.1038/s41586-019-1111-9;May;2018;March;2019;May;2019;May;2019;300;63;1
Next-generation characterization of the Cancer Cell Line Encyclopedia;https://doi.org/10.1038/s41586-019-1186-3;June;2018;April;2019;May;2019;May;2019;311;29;15
Charting cellular identity during human in vitro β-cell differentiation;https://doi.org/10.1038/s41586-019-1168-5;May;2018;April;2019;May;2019;May;2019;335;36;8
Time-resolved protein activation by proximal decaging in living systems;https://doi.org/10.1038/s41586-019-1188-1;September;2018;April;2019;May;2019;May;2019;200;34;15
All-optical spiking neurosynaptic networks with self-learning capabilities;https://doi.org/10.1038/s41586-019-1157-8;May;2018;March;2019;May;2019;May;2019;319;48;1
Single-cell transcriptomic analysis of Alzheimer’s disease;https://doi.org/10.1038/s41586-019-1195-2;July;2018;April;2019;May;2019;June;2019;275;7;50
Childhood cerebellar tumours mirror conserved fetal transcriptional programs;https://doi.org/10.1038/s41586-019-1158-7;June;2018;March;2019;May;2019;August;2019;275;40;92
Twentieth-century hydroclimate changes consistent with human influence;https://doi.org/10.1038/s41586-019-1149-8;October;2018;March;2019;May;2019;May;2019;125;58;1
Innervation of thermogenic adipose tissue via a calsyntenin 3β–S100b axis;https://doi.org/10.1038/s41586-019-1156-9;September;2018;April;2019;May;2019;May;2019;188;29;8
78Ni revealed as a doubly magic stronghold against nuclear deformation;https://doi.org/10.1038/s41586-019-1155-x;November;2018;March;2019;May;2019;May;2019;119;47;1
Imaging individual barium atoms in solid xenon for barium tagging in nEXO;https://doi.org/10.1038/s41586-019-1169-4;June;2018;February;2019;April;2019;May;2019;240;66;10
Speech synthesis from neural decoding of spoken sentences;https://doi.org/10.1038/s41586-019-1119-1;October;2018;March;2019;April;2019;April;2019;143;34;1
Forearc carbon sink reduces long-term volatile recycling into the mantle;https://doi.org/10.1038/s41586-019-1131-5;August;2018;February;2019;April;2019;April;2019;164;75;1
Self-organization and symmetry breaking in intestinal organoid development;https://doi.org/10.1038/s41586-019-1146-y;May;2018;March;2019;April;2019;May;2019;309;28;8
Restoration of brain circulation and cellular functions hours post-mortem;https://doi.org/10.1038/s41586-019-1099-1;February;2018;March;2019;April;2019;April;2019;372;47;1
Fatty acid transport protein 2 reprograms neutrophils in cancer;https://doi.org/10.1038/s41586-019-1118-2;August;2018;March;2019;April;2019;May;2019;201;40;15
The bone marrow microenvironment at single-cell resolution;https://doi.org/10.1038/s41586-019-1104-8;December;2017;March;2019;April;2019;May;2019;454;28;29
Prioritization of cancer therapeutic targets using CRISPR–Cas9 screens;https://doi.org/10.1038/s41586-019-1103-9;August;2018;March;2019;April;2019;April;2019;217;33;15
A new species of Homo from the Late Pleistocene of the Philippines;https://doi.org/10.1038/s41586-019-1067-9;December;2017;February;2019;April;2019;April;2019;423;51;1
Transposon molecular domestication and the evolution of the RAG recombinase;https://doi.org/10.1038/s41586-019-1093-7;August;2018;March;2019;April;2019;May;2019;209;34;22
Nitrosative stress drives heart failure with preserved ejection fraction;https://doi.org/10.1038/s41586-019-1100-z;December;2017;March;2019;April;2019;April;2019;444;34;8
The emergent landscape of the mouse gut endoderm at single-cell resolution;https://doi.org/10.1038/s41586-019-1127-1;November;2018;March;2019;April;2019;May;2019;135;10;38
Genetic compensation triggered by mutant mRNA degradation;https://doi.org/10.1038/s41586-019-1064-z;December;2017;February;2019;April;2019;April;2019;429;57;8
Stem cell competition orchestrates skin homeostasis and ageing;https://doi.org/10.1038/s41586-019-1085-7;March;2018;March;2019;April;2019;April;2019;345;27;15
CD22 blockade restores homeostatic microglial phagocytosis in ageing brains;https://doi.org/10.1038/s41586-019-1088-4;August;2018;March;2019;April;2019;April;2019;190;33;8
Structural variation in the gut microbiome associates with host health;https://doi.org/10.1038/s41586-019-1065-y;February;2018;February;2019;March;2019;April;2019;359;34;8
Structural basis of lipopolysaccharide extraction by the LptB2FGC complex;https://doi.org/10.1038/s41586-019-1025-6;December;2017;February;2019;March;2019;March;2019;423;30;8
Neoantigen-directed immune escape in lung cancer evolution;https://doi.org/10.1038/s41586-019-1032-7;August;2018;February;2019;March;2019;March;2019;188;27;8
Visualizing DNA folding and RNA in embryos at single-cell resolution;https://doi.org/10.1038/s41586-019-1035-4;June;2018;February;2019;March;2019;April;2019;269;21;17
New insights from uncultivated genomes of the global human gut microbiome;https://doi.org/10.1038/s41586-019-1058-x;August;2018;March;2019;March;2019;April;2019;210;7;43
Gboxin is an oxidative phosphorylation inhibitor that targets glioblastoma;https://doi.org/10.1038/s41586-019-0993-x;June;2018;February;2019;March;2019;March;2019;248;28;15
Single-neuron perturbations reveal feature-specific competition in V1;https://doi.org/10.1038/s41586-019-0997-6;May;2018;February;2019;March;2019;March;2019;274;27;15
Comprehensive search for topological materials using symmetry indicators;https://doi.org/10.1038/s41586-019-0937-5;August;2018;December;2018;February;2019;February;2019;137;72;1
An integrative systems genetic analysis of mammalian lipid metabolism;https://doi.org/10.1038/s41586-019-0984-y;March;2018;January;2019;February;2019;March;2019;327;35;15
Catalogue of topological electronic materials;https://doi.org/10.1038/s41586-019-0944-6;July;2018;December;2018;February;2019;February;2019;167;70;1
Structure of the IFNγ receptor complex guides design of biased agonists;https://doi.org/10.1038/s41586-019-0988-7;July;2018;January;2019;February;2019;March;2019;178;33;8
A complete catalogue of high-quality topological materials;https://doi.org/10.1038/s41586-019-0954-4;July;2018;December;2018;February;2019;February;2019;175;62;1
Colonic epithelial cell diversity in health and inflammatory bowel disease;https://doi.org/10.1038/s41586-019-0992-y;July;2018;January;2019;February;2019;March;2019;205;30;8
Bacterial cGAS-like enzymes synthesize diverse nucleotide signals;https://doi.org/10.1038/s41586-019-0953-5;July;2018;January;2019;February;2019;March;2019;193;36;22
β-Synuclein-reactive T cells induce autoimmune CNS grey matter degeneration;https://doi.org/10.1038/s41586-019-0964-2;August;2018;January;2019;February;2019;February;2019;162;36;8
A single-cell molecular map of mouse gastrulation and early organogenesis;https://doi.org/10.1038/s41586-019-0933-9;May;2018;December;2018;February;2019;February;2019;203;62;8
The single-cell transcriptional landscape of mammalian organogenesis;https://doi.org/10.1038/s41586-019-0969-x;June;2018;January;2019;February;2019;February;2019;223;41;8
Neural circuits underlying a psychotherapeutic regimen for fear disorders;https://doi.org/10.1038/s41586-019-0931-y;May;2018;January;2019;February;2019;February;2019;229;37;8
Diabetes relief in mice by glucose-sensing insulin-secreting human α-cells;https://doi.org/10.1038/s41586-019-0942-8;July;2016;January;2019;February;2019;March;2019;897;30;22
Convergent estimates of marine nitrogen fixation;https://doi.org/10.1038/s41586-019-0911-2;March;2018;December;2018;February;2019;February;2019;261;58;1
A new genomic blueprint of the human gut microbiota;https://doi.org/10.1038/s41586-019-0965-1;June;2018;February;2019;February;2019;April;2019;226;10;73
Global environmental consequences of twenty-first-century ice-sheet melt;https://doi.org/10.1038/s41586-019-0889-9;July;2018;December;2018;February;2019;February;2019;168;47;1
Discrete attractor dynamics underlies persistent activity in the frontal cortex;https://doi.org/10.1038/s41586-019-0919-7;October;2017;January;2019;February;2019;February;2019;438;30;8
Revisiting Antarctic ice loss due to marine ice-cliff instability;https://doi.org/10.1038/s41586-019-0901-4;October;2017;January;2019;February;2019;February;2019;430;33;1
L1 drives IFN in senescent cells and promotes age-associated inflammation;https://doi.org/10.1038/s41586-018-0784-9;December;2016;November;2018;February;2019;February;2019;682;96;1
A dissipatively stabilized Mott insulator of photons;https://doi.org/10.1038/s41586-019-0897-9;July;2018;December;2018;February;2019;February;2019;130;61;1
Ultra-large library docking for discovering new chemotypes;https://doi.org/10.1038/s41586-019-0917-9;June;2018;January;2019;February;2019;February;2019;192;33;8
CasX enzymes comprise a distinct family of RNA-guided genome editors;https://doi.org/10.1038/s41586-019-0908-x;July;2018;December;2018;February;2019;February;2019;153;35;10
Timing of archaic hominin occupation of Denisova Cave in southern Siberia;https://doi.org/10.1038/s41586-018-0843-2;May;2018;November;2018;January;2019;January;2019;208;61;1
Secondary organic aerosol reduced by mixture of atmospheric vapours;https://doi.org/10.1038/s41586-018-0871-y;May;2018;December;2018;January;2019;January;2019;194;57;1
Tripled yield in direct-drive laser fusion through statistical modelling;https://doi.org/10.1038/s41586-019-0877-0;June;2018;December;2018;January;2019;January;2019;186;57;1
PU.1 controls fibroblast polarization and tissue fibrosis;https://doi.org/10.1038/s41586-019-0896-x;October;2017;December;2018;January;2019;February;2019;441;40;22
A defined commensal consortium elicits CD8 T cells and anti-cancer immunity;https://doi.org/10.1038/s41586-019-0878-z;March;2018;December;2018;January;2019;January;2019;254;49;8
Southward propagation of Nazca subduction along the Andes;https://doi.org/10.1038/s41586-018-0860-1;April;2018;November;2018;January;2019;January;2019;224;64;1
Structural insights into the activation of metabotropic glutamate receptors;https://doi.org/10.1038/s41586-019-0881-4;September;2018;December;2018;January;2019;February;2019;92;42;15
Damage-tolerant architected materials inspired by crystal microstructure;https://doi.org/10.1038/s41586-018-0850-3;March;2018;November;2018;January;2019;January;2019;245;48;1
Introns are mediators of cell response to starvation;https://doi.org/10.1038/s41586-018-0859-7;February;2018;December;2018;January;2019;January;2019;287;40;15
Excised linear introns regulate growth in yeast;https://doi.org/10.1038/s41586-018-0828-1;December;2017;November;2018;January;2019;January;2019;348;50;15
Electromagnetic and gravitational responses of photonic Landau levels;https://doi.org/10.1038/s41586-018-0817-4;February;2018;October;2018;January;2019;January;2019;260;70;1
De novo design of potent and selective mimics of IL-2 and IL-15;https://doi.org/10.1038/s41586-018-0830-7;June;2018;November;2018;January;2019;January;2019;167;55;1
LHX2- and LDB1-mediated trans interactions regulate olfactory receptor choice;https://doi.org/10.1038/s41586-018-0845-0;April;2018;December;2018;January;2019;January;2019;241;34;15
Age-related remodelling of oesophageal epithelia by mutated cancer drivers;https://doi.org/10.1038/s41586-018-0811-x;June;2018;November;2018;January;2019;January;2019;149;41;15
GABAA receptor signalling mechanisms revealed by structural pharmacology;https://doi.org/10.1038/s41586-018-0832-5;August;2018;November;2018;January;2019;January;2019;98;40;22
Structural basis of Notch recognition by human γ-secretase;https://doi.org/10.1038/s41586-018-0813-8;July;2018;November;2018;December;2018;January;2019;107;60;10
Thermal stress induces glycolytic beige fat formation via a myogenic state;https://doi.org/10.1038/s41586-018-0801-z;February;2018;November;2018;December;2018;January;2019;269;43;22
Stochastic synaptic plasticity underlying compulsion in a model of addiction;https://doi.org/10.1038/s41586-018-0789-4;May;2018;November;2018;December;2018;December;2018;186;36;1
Loss of ADAR1 in tumours overcomes resistance to immune checkpoint blockade;https://doi.org/10.1038/s41586-018-0768-9;February;2018;November;2018;December;2018;January;2019;261;39;17
Increased variability of eastern Pacific El Niño under greenhouse warming;https://doi.org/10.1038/s41586-018-0776-9;August;2018;October;2018;December;2018;December;2018;80;48;1
Structure of native lens connexin 46/50 intercellular channels by cryo-EM;https://doi.org/10.1038/s41586-018-0786-7;September;2017;October;2018;December;2018;December;2018;413;44;8
Structural basis of coreceptor recognition by HIV-1 envelope spike;https://doi.org/10.1038/s41586-018-0804-9;July;2018;November;2018;December;2018;January;2019;120;40;36
Single-cell mapping of lineage and identity in direct reprogramming;https://doi.org/10.1038/s41586-018-0744-4;June;2017;October;2018;December;2018;December;2018;487;63;8
Soft-tissue evidence for homeothermy and crypsis in a Jurassic ichthyosaur;https://doi.org/10.1038/s41586-018-0775-x;March;2018;October;2018;December;2018;December;2018;212;50;15
A circuit from hippocampal CA2 to lateral septum disinhibits social aggression;https://doi.org/10.1038/s41586-018-0772-0;August;2017;October;2018;December;2018;December;2018;433;54;8
Scalable energy-efficient magnetoelectric spin–orbit logic;https://doi.org/10.1038/s41586-018-0770-2;April;2016;October;2018;December;2018;January;2019;896;57;31
PtdIns4P on dispersed trans-Golgi network mediates NLRP3 inflammasome activation;https://doi.org/10.1038/s41586-018-0761-3;May;2017;October;2018;November;2018;December;2018;507;42;8
Somatic APP gene recombination in Alzheimer’s disease and normal neurons;https://doi.org/10.1038/s41586-018-0718-6;October;2017;October;2018;November;2018;November;2018;371;43;8
Structural plasticity of D3–D14 ubiquitin ligase in strigolactone signalling;https://doi.org/10.1038/s41586-018-0743-5;November;2017;October;2018;November;2018;November;2018;312;47;8
Amphioxus functional genomics and the origins of vertebrate gene regulation;https://doi.org/10.1038/s41586-018-0734-6;November;2017;October;2018;November;2018;December;2018;330;34;15
Change in future climate due to Antarctic meltwater;https://doi.org/10.1038/s41586-018-0712-z;April;2018;September;2018;November;2018;December;2018;149;75;17
Single-cell reconstruction of the early maternal–fetal interface in humans;https://doi.org/10.1038/s41586-018-0698-6;March;2018;October;2018;November;2018;November;2018;199;30;1
Improved reference genome of Aedes aegypti informs arbovirus vector control;https://doi.org/10.1038/s41586-018-0692-z;December;2017;October;2018;November;2018;November;2018;281;40;8
Widespread but heterogeneous responses of Andean forests to climate change;https://doi.org/10.1038/s41586-018-0715-9;November;2017;September;2018;November;2018;December;2018;304;58;29
Anthropogenic influences on major tropical cyclone events;https://doi.org/10.1038/s41586-018-0673-2;April;2018;September;2018;November;2018;November;2018;142;71;1
Cryo-EM structures and dynamics of substrate-engaged human 26S proteasome;https://doi.org/10.1038/s41586-018-0736-4;September;2018;November;2018;November;2018;January;2019;51;10;52
Predictable and precise template-free CRISPR editing of pathogenic variants;https://doi.org/10.1038/s41586-018-0686-x;April;2018;September;2018;November;2018;November;2018;136;58;22
Type 9 secretion system structures reveal a new protein transport mechanism;https://doi.org/10.1038/s41586-018-0693-y;July;2018;September;2018;November;2018;December;2018;51;55;29
Abiotic synthesis of amino acids in the recesses of the oceanic lithosphere;https://doi.org/10.1038/s41586-018-0684-z;February;2018;October;2018;November;2018;December;2018;240;26;29
Distinct descending motor cortex pathways and their roles in movement;https://doi.org/10.1038/s41586-018-0642-9;December;2017;September;2018;October;2018;November;2018;293;37;1
Active superelasticity in three-dimensional epithelia of controlled shape;https://doi.org/10.1038/s41586-018-0671-4;November;2017;October;2018;October;2018;November;2018;329;23;8
Measurement-based quantum control of mechanical motion;https://doi.org/10.1038/s41586-018-0643-8;May;2018;September;2018;October;2018;November;2018;105;48;1
TDP-43 and RNA form amyloid-like myo-granules in regenerating muscle;https://doi.org/10.1038/s41586-018-0665-2;January;2018;October;2018;October;2018;November;2018;271;28;22
